,Course ID,Subject,Catalog,Long Title,Class Units,Component Code,Component Descr,Pre Requisite Description,Career,Equivalent Courses,Descr,Key,Faculty,Department,Program,Degree,Website
0,26,ACCO,220,Financial and Managerial Accounting,3.0,LEC,Lecture,"   Never Taken/Not Registered: ACCO213, ACCO218, ACCO230, ACCO240",UGRD,,"This course provides an introduction to accounting principles underlying the preparation of financial reports with an emphasis on the relationship between accounting information and production decisions. It examines the relationship between costs, production volume, and profit, as well as the practical benefits of standard costs for planning and control purposes. The role of accounting information in various manufacturing decisions is also highlighted.

NOTE: This course would be useful to Engineering students.
NOTE: JMSB students may not take this course for credit.
NOTE: Students who have received credit for ACCO 230, 240 may not take this course for credit.

",,,,,,
1,27,ACCO,230,Introduction to Financial Accounting,3.0,LEC,Lecture,"   Never Taken/Not Registered: ACCO213, ACCO220, COMM217; Never Taken: ACCO240, ACCO340, ACCO345, ACCO365, ACCO455, ACCO470F, ACCO470I, ACCO470S, ACCO470T, COMM305, COMM308, IBUS471I",UGRD,,"This course provides an introduction to accounting concepts underlying financial statements of organizations. It focuses on the analysis, measurement, and reporting of business transactions to users of financial statements. It also examines the uses and limitations of accounting information for investment and credit decisions.

NOTE: JMSB students may not take this course for credit.
""NOTE: Students who receive a grade of """"C"""" or better may be exempt from COMM 217.""
NOTE: Students who have received credit for ACCO 220 may not take this course for credit.

",,,,,,
2,28,ACCO,240,Introduction to Managerial Accounting,3.0,LEC,Lecture,"   Never Taken/Not Registered: ACCO218, ACCO220, COMM305; Never Taken: ACCO310, ACCO330, ACCO350, ACCO355, ACCO470I, IBUS462, IBUS471I, MARK462 You must complete 1 of the following rules   Course Prerequisite: ACCO213, ACCO230",UGRD,,"This course examines the role of accounting information for decision making, and focuses on concepts and techniques used in planning operations, controlling activities, and evaluating managerial performance. New developments are addressed with a focus on contemporary business issues and real-world applicability of management accounting concepts and techniques.
Prerequisite: ACCO 230.
NOTE: JMSB students may not take this course for credit.
NOTE: Students who receive a passing grade may be exempt from COMM 305.
NOTE: Students who have received credit for ACCO 220 may not take this course for credit.

",,,,,,
3,35,ACCO,310,Financial Reporting I,3.0,LEC,Lecture,"Course Corequisite: One of (COMM305, ACCO218, ACCO240)  Never Taken: ACCO320, ACCO350",UGRD,ACCO 310 = ACCO 323,"Intensive study is made of the theory and practice of external financial reporting by business organizations, focusing on concepts and procedures underlying the measurement of assets and the determination of income.
Prerequisite: COMM 305 previously or concurrently.




",,,,,,
4,43,ACCO,320,Financial Reporting II,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO310, ACCO323) Never Taken: ACCO326; ACCO410, ACCO420, ACCO400, ACCO450, ACCO460",UGRD,ACCO 320 = ACCO 326,"This course continues the intensive study of ACCO 310, with particular emphasis on accounting for liabilities, shareholders' equity, and other related topics such as earnings per share, pension accounting, and accounting for income taxes.
Prerequisite: ACCO 310.




",,,,,,
5,53,ACCO,330,Cost and Management Accounting,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO218, COMM305, ACCO240) Never Taken ACCO303; ACCO430, ACCO470A",UGRD,ACCO 303 = ACCO 330,"This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision-making, and control. Topics include cost accumulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing.
Prerequisite: COMM 305.




",JMSB_1,JMSB,Accountancy,Accountancy,Bachelor,
6,55,ACCO,340,Income Taxation in Canada,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO213, COMM217, ACCO230) Never Taken: ACCO441;  ACCO440",UGRD,ACCO 340 = ACCO 441,"This course provides core knowledge regarding the federal income tax structure and the Canadian goods and services tax system. It examines the taxation of employment, business, property income, capital gains and other sources of income for an individual.
Prerequisite: COMM 217.




",,,,,,
7,57,ACCO,350,Accounting and Information Technology,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO218, COMM305, ACCO240)  One of (COMM226, COMM301) Never Taken: ACCO414",UGRD,ACCO 350 = ACCO 414,"This course examines the role of computerized accounting information systems (AIS) in organizations. Students learn how to justify, design, and utilize AIS to provide pertinent information to managers for decision making. The course helps to identify appropriate usage of information technology in specific accounting contexts. Topics include e-business, computer fraud, information systems security and controls, systems analysis, and management of information technology.
Prerequisite: COMM 226 or 301, COMM 305",,,,,,
8,58,ACCO,355,Analysis of Financial Statements,3.0,LEC,Lecture,,UGRD,,"This course explores the usefulness and limitations of financial statements for investment and credit decisions. It focuses on the interpretation of the information contained in financial statements which reflect the economic characteristics of the firm and its strategic business decisions. Instruments and techniques for financial statement analysis are discussed and applied to case studies and actual companies.
Prerequisite: COMM 305, 308.

NOTE: This course would be useful for students in Finance and Management.",JMSB_2,JMSB,Accountancy,Accountancy,Bachelor,
9,59,ACCO,365,U.S. Federal Taxation,3.0,LEC,Lecture,"Course Prerequisite: One of (COMM217, ACCO230)",UGRD,ACCO 365 = ACCO 470T,"This course familiarizes the student with individual and corporate taxation in the U.S. The use of professional judgment in the application of tax planning recommendations is also addressed in this course.
Prerequisite: COMM 217 or ACCO 230.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.



",,,,,,
10,60,ACCO,400,Accounting Theory,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO461",UGRD,ACCO 400 = ACCO 461,"This course examines the theoretical foundations of the contemporary approach to financial reporting, and the political and pragmatic considerations in the development of the conceptual framework underlying current accounting standards. Alternative theories of accounting are discussed and controversial areas are emphasized.
Prerequisite: ACCO 320.




",,,,,,
11,86,ACCO,420,Financial Reporting III,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken ACCO335; ACCO480",UGRD,ACCO 335 = ACCO 420,"This course examines the theory and practice of accounting for intercorporate investments, business combinations, consolidation of financial statements, and foreign currency transactions and operations.
Prerequisite: ACCO 320.




",JMSB_3,JMSB,Accountancy,Accountancy,Bachelor,
12,89,ACCO,425,FINANCIAL REPORTING IV,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO410",UGRD,,Please see UGRD Calendar,JMSB_4,JMSB,Accountancy,Accountancy,Bachelor,
13,92,ACCO,430,Advanced Management Accounting,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO303, ACCO330) Never Taken ACCO422; ACCO435",UGRD,ACCO 422 = ACCO 430,"The course examines the integrative and interdisciplinary role of management accounting and its contribution to the complex management process. The course focuses on cases that deal with strategic issues in management accounting and management's need for both quantitative and qualitative information for planning, control, performance evaluation and decision making.
Prerequisite: ACCO 330.




",JMSB_5,JMSB,Accountancy,Accountancy,Bachelor,
14,97,ACCO,435,STRAT ACCTNG CASE ANALYSIS,3.0,LEC,Lecture,"   Course Prerequisite: ACCO320, ACCO330; Course Corequisite: COMM401",UGRD,ACCO 435 = ACCO 470A,Please see UGRD Calendar,JMSB_6,JMSB,Accountancy,Accountancy,Bachelor,
15,98,ACCO,440,Advanced Taxation,3.0,LEC,Lecture,"Course Prerequisite: One of (ACCO340, ACCO441) Never Taken ACCO442;  ACCO490",UGRD,ACCO 440 = ACCO 442,"This course provides core knowledge regarding the federal taxation of corporations, partnerships, and trusts. It introduces analytical skills needed to make decisions regarding various business transfers, combinations, incorporation and estate planning issues for corporations and shareholders.
Prerequisite: ACCO 340.




",,,,,,
16,104,ACCO,450,Assurance Services,3.0,LEC,Lecture,"Course Corequisite: One of (ACCO320, ACCO326) Never Taken ACCO429, ACCO432; ACCO465, ACCO470D",UGRD,ACCO 432/ACCO 450/ACCO 360,"This course examines the concepts and current standards of various assurance services, especially the audit of financial statements. It emphasizes the audit process and the role of the public accountant in expressing an opinion on the financial statements of an organization.
Prerequisite: ACCO 320 previously or concurrently.




",,,,,,
17,106,ACCO,455,Fraud Prevention and Investigation,3.0,LEC,Lecture,"Course Prerequisite: COMM315 Course Prerequisite: One of (COMM217, ACCO230)",UGRD,ACCO 455 = ACCO 470F,"This course examines the principles of and methodology used in fraud detection and deterrence. Topics covered may include skimming, cash larceny, cheque tampering, billing, payroll and expense reimbursement schemes, non-cash misappropriations, corruption, fraudulent financial statements, conducting investigations and interviewing witnesses. This course may also examine auditors' legal responsibilities towards fraud, the evaluation of internal controls and important pieces of legislation such as the Sarbanes-Oxley Act and the Criminal Code. Finally, the ethical aspects associated with fraud are discussed. Class sessions consist of lectures, real-life fraud case discussions and the presentation of DVDs from the Association of Certified Fraud Examiners.
Prerequisite: COMM 217, 315.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.



",JMSB_7,JMSB,Accountancy,Accountancy,Bachelor,
18,109,ACCO,465,Advanced Assurance Services,3.0,LEC,Lecture,Course Prerequisite: One of (ACCO 360 or 450) and ACCO 320; Never Taken  ACCO470,UGRD,ACCO 465 = ACCO 470D,"This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors. The course embraces the requirements of the CA Student Competency Map for assurance and the CGA Modules and Readings AU2.
Prerequisite: ACCO 320, 360; or ACCO 450.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.",JMSB_8,JMSB,Accountancy,Accountancy,Bachelor,
